波数(cm-1),吸光度
642.18,0.132728
642.66,0.130928
643.14,0.129439
643.63,0.128402
644.11,0.127853
644.59,0.127748
645.07,0.127992
645.55,0.128500
646.04,0.129213
646.52,0.130095
647.00,0.131110
647.48,0.132182
647.96,0.133180
648.45,0.133953
648.93,0.134367
649.41,0.134384
649.89,0.134086
650.38,0.133677
650.86,0.133404
651.34,0.133470
651.82,0.133976
652.30,0.134868
652.79,0.135974
653.27,0.137056
653.75,0.137911
654.23,0.138426
654.71,0.138601
655.20,0.138538
655.68,0.138387
656.16,0.138303
656.64,0.138384
657.13,0.138675
657.61,0.139165
658.09,0.139809
658.57,0.140541
659.05,0.141282
659.54,0.141962
660.02,0.142513
660.50,0.142893
660.98,0.143099
661.46,0.143173
661.95,0.143183
662.43,0.143207
662.91,0.143296
663.39,0.143455
663.87,0.143638
664.36,0.143767
664.84,0.143770
665.32,0.143601
665.80,0.143251
666.29,0.142751
666.77,0.142170
667.25,0.141613
667.73,0.141194
668.21,0.140997
668.70,0.141005
669.18,0.141108
669.66,0.141174
670.14,0.141120
670.62,0.140918
671.11,0.140557
671.59,0.140027
672.07,0.139317
672.55,0.138431
673.03,0.137402
673.52,0.136304
674.00,0.135248
674.48,0.134345
674.96,0.133692
675.45,0.133344
675.93,0.133307
676.41,0.133543
676.89,0.133970
677.37,0.134495
677.86,0.135010
678.34,0.135420
678.82,0.135657
679.30,0.135673
679.78,0.135455
680.27,0.135019
680.75,0.134410
681.23,0.133689
681.71,0.132925
682.20,0.132187
682.68,0.131535
683.16,0.131021
683.64,0.130689
684.12,0.130568
684.61,0.130661
685.09,0.130928
685.57,0.131283
686.05,0.131602
686.53,0.131740
687.02,0.131578
687.50,0.131052
687.98,0.130181
688.46,0.129062
688.94,0.127852
689.43,0.126713
689.91,0.125750
690.39,0.124994
690.87,0.124391
691.36,0.123850
691.84,0.123276
692.32,0.122624
692.80,0.121918
693.28,0.121243
693.77,0.120706
694.25,0.120401
694.73,0.120374
695.21,0.120602
695.69,0.121002
696.18,0.121448
696.66,0.121822
697.14,0.122032
697.62,0.122045
698.11,0.121882
698.59,0.121612
699.07,0.121322
699.55,0.121082
700.03,0.120929
700.52,0.120849
701.00,0.120792
701.48,0.120686
701.96,0.120478
702.44,0.120155
702.93,0.119761
703.41,0.119381
703.89,0.119109
704.37,0.119015
704.85,0.119109
705.34,0.119331
705.82,0.119573
706.30,0.119726
706.78,0.119715
707.27,0.119534
707.75,0.119236
708.23,0.118914
708.71,0.118650
709.19,0.118477
709.68,0.118372
710.16,0.118277
710.64,0.118141
711.12,0.117968
711.60,0.117839
712.09,0.117897
712.57,0.118320
713.05,0.119244
713.53,0.120718
714.01,0.122676
714.50,0.124951
714.98,0.127323
715.46,0.129558
715.94,0.131484
716.43,0.133019
716.91,0.134173
717.39,0.135019
717.87,0.135665
718.35,0.136213
718.84,0.136723
719.32,0.137208
719.80,0.137626
720.28,0.137905
720.76,0.137957
721.25,0.137714
721.73,0.137151
722.21,0.136296
722.69,0.135229
723.17,0.134051
723.66,0.132856
724.14,0.131695
724.62,0.130555
725.10,0.129365
725.59,0.128027
726.07,0.126464
726.55,0.124653
727.03,0.122651
727.51,0.120582
728.00,0.118610
728.48,0.116872
728.96,0.115453
729.44,0.114360
729.92,0.113532
730.41,0.112864
730.89,0.112235
731.37,0.111548
731.85,0.110736
732.34,0.109773
732.82,0.108671
733.30,0.107471
733.78,0.106241
734.26,0.105056
734.75,0.103991
735.23,0.103091
735.71,0.102360
736.19,0.101749
736.67,0.101172
737.16,0.100533
737.64,0.099753
738.12,0.098809
738.60,0.097741
739.08,0.096639
739.57,0.095603
740.05,0.094713
740.53,0.093998
741.01,0.093428
741.50,0.092936
741.98,0.092448
742.46,0.091915
742.94,0.091328
743.42,0.090712
743.91,0.090106
