角度(2θ),强度
12.32013259,1927
12.33326287,1917
12.34639316,2003
12.35952344,1971
12.37265372,2011
12.38578401,1966
12.39891429,1947
12.41204457,2055
12.42517485,2069
12.43830514,1968
12.45143542,1944
12.4645657,1930
12.47769598,1985
12.49082627,1923
12.50395655,1914
12.51708683,1901
12.53021711,1884
12.5433474,1943
12.55647768,1868
12.56960796,1905
12.58273825,1922
12.59586853,1882
12.60899881,2001
12.62212909,1907
12.63525938,1862
12.64838966,1910
12.66151994,1918
12.67465022,1903
12.68778051,1814
12.70091079,1854
12.71404107,1945
12.72717135,1873
12.74030164,1898
12.75343192,1948
12.7665622,1915
12.77969249,1947
12.79282277,1963
12.80595305,1860
12.81908333,1882
12.83221362,1923
12.8453439,1890
12.85847418,1895
12.87160446,1826
12.88473475,1887
12.89786503,1873
12.91099531,1914
12.92412559,1868
12.93725588,1879
12.95038616,1923
12.96351644,1880
12.97664673,1899
12.98977701,1931
13.00290729,1922
13.01603757,1880
13.02916786,1918
13.04229814,1816
13.05542842,1834
13.0685587,1889
13.08168899,1837
13.09481927,1841
13.10794955,1846
13.12107984,1791
13.13421012,1806
13.1473404,1835
13.16047068,1822
13.17360097,1882
13.18673125,1821
13.19986153,1820
13.21299181,1876
13.2261221,1875
13.23925238,1871
13.25238266,1871
13.26551294,1810
13.27864323,1839
13.29177351,1862
13.30490379,1877
13.31803408,1942
13.33116436,1916
13.34429464,1807
13.35742492,1840
13.37055521,1870
13.38368549,1874
13.39681577,1946
13.40994605,1789
13.42307634,1745
13.43620662,1804
13.4493369,1851
13.46246718,1825
13.47559747,1864
13.48872775,1782
13.50185803,1900
13.51498832,1765
13.5281186,1867
13.54124888,1847
13.55437916,1835
13.56750945,1823
13.58063973,1748
13.59377001,1837
13.60690029,1763
13.62003058,1733
13.63316086,1792
13.64629114,1772
13.65942142,1822
13.67255171,1879
13.68568199,1820
13.69881227,1738
13.71194256,1819
13.72507284,1839
13.73820312,1861
13.7513334,1835
13.76446369,1766
13.77759397,1792
13.79072425,1867
13.80385453,1781
13.81698482,1872
13.8301151,1690
13.84324538,1787
13.85637566,1804
13.86950595,1830
13.88263623,1812
13.89576651,1811
13.9088968,1795
13.92202708,1742
13.93515736,1693
13.94828764,1733
13.96141793,1764
13.97454821,1781
13.98767849,1837
14.00080877,1751
14.01393906,1824
14.02706934,1792
14.04019962,1781
14.05332991,1686
14.06646019,1797
14.07959047,1773
14.09272075,1755
14.10585104,1761
14.11898132,1761
14.1321116,1694
14.14524188,1710
14.15837217,1649
14.17150245,1751
14.18463273,1709
14.19776301,1783
14.2108933,1728
14.22402358,1729
14.23715386,1691
14.25028415,1820
14.26341443,1706
14.27654471,1714
14.28967499,1721
14.30280528,1739
14.31593556,1718
14.32906584,1667
14.34219612,1789
14.35532641,1801
14.36845669,1712
14.38158697,1700
14.39471725,1704
14.40784754,1762
14.42097782,1659
14.4341081,1750
14.44723839,1675
14.46036867,1691
14.47349895,1702
14.48662923,1720
14.49975952,1696
14.5128898,1790
14.52602008,1691
14.53915036,1706
14.55228065,1657
14.56541093,1661
14.57854121,1788
14.59167149,1720
14.60480178,1647
14.61793206,1673
14.63106234,1615
14.64419263,1706
14.65732291,1611
14.67045319,1697
14.68358347,1724
14.69671376,1691
14.70984404,1708
14.72297432,1699
14.7361046,1676
14.74923489,1669
14.76236517,1638
14.77549545,1634
14.78862574,1572
14.80175602,1615
14.8148863,1716
14.82801658,1660
14.84114687,1651
